Front Text: What is the normal range for adult blood pressure? | Back Text: 120/80 mmHg | Difficulty: easy | Card Order: 1 | Status: draft
Front Text: What is the primary function of insulin? | Back Text: To regulate blood glucose levels by facilitating glucose uptake into cells | Difficulty: medium | Card Order: 2 | Status: draft
Front Text: What is the normal heart rate range for adults at rest? | Back Text: 60-100 beats per minute | Difficulty: easy | Card Order: 3 | Status: draft
Front Text: What does COPD stand for? | Back Text: Chronic Obstructive Pulmonary Disease | Difficulty: medium | Card Order: 4 | Status: draft
Front Text: What is the normal body temperature in Celsius? | Back Text: 37°C (98.6°F) | Difficulty: easy | Card Order: 5 | Status: draft
Front Text: What is the primary cause of Type 2 diabetes? | Back Text: Insulin resistance and relative insulin deficiency | Difficulty: hard | Card Order: 6 | Status: draft
Front Text: What is the normal range for hemoglobin in adult males? | Back Text: 13.8-17.2 g/dL | Difficulty: medium | Card Order: 7 | Status: draft
Front Text: What does MRI stand for? | Back Text: Magnetic Resonance Imaging | Difficulty: easy | Card Order: 8 | Status: draft
Front Text: What is the normal range for white blood cell count? | Back Text: 4,500-11,000 cells/μL | Difficulty: medium | Card Order: 9 | Status: draft
Front Text: What is the primary treatment for anaphylaxis? | Back Text: Epinephrine (adrenaline) injection | Difficulty: hard | Card Order: 10 | Status: draft
Front Text: What is the normal range for blood glucose fasting? | Back Text: 70-100 mg/dL | Difficulty: medium | Card Order: 11 | Status: draft
Front Text: What does ECG stand for? | Back Text: Electrocardiogram | Difficulty: easy | Card Order: 12 | Status: draft
Front Text: What is the normal range for platelet count? | Back Text: 150,000-450,000 platelets/μL | Difficulty: medium | Card Order: 13 | Status: draft
Front Text: What is the primary function of the kidneys? | Back Text: To filter waste products and excess water from the blood | Difficulty: medium | Card Order: 14 | Status: draft
Front Text: What is the normal range for cholesterol (total)? | Back Text: Less than 200 mg/dL | Difficulty: medium | Card Order: 15 | Status: draft
Front Text: What does CT scan stand for? | Back Text: Computed Tomography | Difficulty: easy | Card Order: 16 | Status: draft
Front Text: What is the normal range for creatinine in adult males? | Back Text: 0.7-1.3 mg/dL | Difficulty: medium | Card Order: 17 | Status: draft
Front Text: What is the primary cause of hypertension? | Back Text: Often idiopathic (essential hypertension) with multiple contributing factors | Difficulty: hard | Card Order: 18 | Status: draft
Front Text: What is the normal range for oxygen saturation? | Back Text: 95-100% | Difficulty: easy | Card Order: 19 | Status: draft
Front Text: What does CPR stand for? | Back Text: Cardiopulmonary Resuscitation | Difficulty: easy | Card Order: 20 | Status: draft
