Question Text: What is the normal range for adult blood pressure? | Type: multiple_choice | Options: A) 90/60 mmHg B) 120/80 mmHg C) 140/90 mmHg D) 160/100 mmHg | Correct Option: B | Difficulty: easy | Tags: cardiology, vital signs | Keywords: blood pressure, hypertension, normal range, mmHg | Hint: Consider the standard reference values used in clinical practice | Help: This question tests knowledge of normal vital sign parameters | Explanation: Normal adult blood pressure is defined as 120/80 mmHg. The systolic pressure (120) represents the pressure when the heart contracts, and the diastolic pressure (80) represents the pressure when the heart relaxes. Values below 120/80 are considered low, while values at or above 140/90 indicate hypertension. | Explanation: Normal adult blood pressure is defined as 120/80 mmHg. The systolic pressure (120) represents the pressure when the heart contracts, and the diastolic pressure (80) represents the pressure when the heart relaxes. Values below 120/80 are considered low, while values at or above 140/90 indicate hypertension.
Question Text: Is diabetes mellitus a chronic condition? | Type: true_false | Options: True False | Correct Option: True | Difficulty: medium | Tags: endocrinology, chronic disease | Keywords: diabetes, chronic, metabolic disorder, insulin | Hint: Think about the long-term nature of diabetes management | Help: This question assesses understanding of chronic disease classification | Explanation: Diabetes mellitus is a chronic metabolic disorder characterized by persistent hyperglycemia. It requires lifelong management through medication, diet, and lifestyle modifications. Unlike acute conditions that resolve, diabetes is a progressive disease that persists over time and can lead to complications if not properly managed. | Explanation: Diabetes mellitus is a chronic metabolic disorder characterized by persistent hyperglycemia. It requires lifelong management through medication, diet, and lifestyle modifications. Unlike acute conditions that resolve, diabetes is a progressive disease that persists over time and can lead to complications if not properly managed.
Question Text: Explain the mechanism of action of ACE inhibitors | Type: essay | Options: N/A | Correct Option: N/A | Difficulty: hard | Tags: pharmacology, cardiology | Keywords: ACE inhibitors, mechanism, angiotensin, blood pressure | Hint: Consider the renin-angiotensin-aldosterone system | Help: Provide a detailed explanation of how ACE inhibitors work at the molecular level | Explanation: ACE inhibitors block the angiotensin-converting enzyme, preventing the conversion of angiotensin I to angiotensin II. This reduces vasoconstriction, decreases aldosterone secretion, and lowers blood pressure. They also increase bradykinin levels, contributing to vasodilation and potentially causing the characteristic dry cough side effect. | Explanation: ACE inhibitors block the angiotensin-converting enzyme, preventing the conversion of angiotensin I to angiotensin II. This reduces vasoconstriction, decreases aldosterone secretion, and lowers blood pressure. They also increase bradykinin levels, contributing to vasodilation and potentially causing the characteristic dry cough side effect.
Question Text: What is the most common cause of acute myocardial infarction? | Type: multiple_choice | Options: A) Coronary artery spasm B) Atherosclerosis C) Cardiomyopathy D) Valvular disease | Correct Option: B | Difficulty: medium | Tags: cardiology, emergency medicine | Keywords: myocardial infarction, atherosclerosis, coronary artery disease | Hint: Think about the underlying pathology of heart attacks | Help: This question tests knowledge of cardiovascular pathophysiology | Explanation: Atherosclerosis is the most common cause of myocardial infarction. It involves the buildup of plaques in coronary arteries, which can rupture and cause thrombosis, leading to complete or partial occlusion of blood flow to the heart muscle, resulting in ischemia and necrosis. | Explanation: Atherosclerosis is the most common cause of myocardial infarction. It involves the buildup of plaques in coronary arteries, which can rupture and cause thrombosis, leading to complete or partial occlusion of blood flow to the heart muscle, resulting in ischemia and necrosis.
Question Text: Is hand hygiene effective in preventing healthcare-associated infections? | Type: true_false | Options: True False | Correct Option: True | Difficulty: easy | Tags: infection control, public health | Keywords: hand hygiene, infection prevention, healthcare, HAI | Hint: Consider basic infection control principles | Help: This question assesses knowledge of fundamental infection prevention practices | Explanation: Hand hygiene is one of the most effective methods to prevent healthcare-associated infections. Proper handwashing with soap and water or alcohol-based hand sanitizers removes or kills pathogens, breaks the chain of infection transmission, and is considered a cornerstone of infection prevention and control in healthcare settings. | Explanation: Hand hygiene is one of the most effective methods to prevent healthcare-associated infections. Proper handwashing with soap and water or alcohol-based hand sanitizers removes or kills pathogens, breaks the chain of infection transmission, and is considered a cornerstone of infection prevention and control in healthcare settings.
Question Text: What is the normal heart rate range for adults? | Type: multiple_choice | Options: A) 40-60 bpm B) 60-100 bpm C) 100-120 bpm D) 120-140 bpm | Correct Option: B | Difficulty: easy | Tags: cardiology, vital signs | Keywords: heart rate, pulse, normal range, bpm | Hint: Consider the standard resting heart rate for healthy adults | Help: This question tests knowledge of normal vital sign parameters | Explanation: The normal resting heart rate for healthy adults ranges from 60 to 100 beats per minute. Athletes may have lower resting rates (40-60 bpm) due to cardiovascular conditioning. Rates below 60 bpm are considered bradycardia, while rates above 100 bpm are considered tachycardia. | Explanation: The normal resting heart rate for healthy adults ranges from 60 to 100 beats per minute. Athletes may have lower resting rates (40-60 bpm) due to cardiovascular conditioning. Rates below 60 bpm are considered bradycardia, while rates above 100 bpm are considered tachycardia.
Question Text: Is pneumonia always caused by bacteria? | Type: true_false | Options: True False | Correct Option: False | Difficulty: medium | Tags: pulmonology, infectious disease | Keywords: pneumonia, bacteria, virus, fungi, etiology | Hint: Think about the various pathogens that can cause pneumonia | Help: This question tests understanding of pneumonia etiology | Explanation: Pneumonia can be caused by various pathogens including bacteria, viruses, fungi, and parasites. While bacterial pneumonia is common, viral pneumonia (such as influenza or COVID-19), fungal pneumonia, and other causes exist. The etiology determines the appropriate treatment approach. | Explanation: Pneumonia can be caused by various pathogens including bacteria, viruses, fungi, and parasites. While bacterial pneumonia is common, viral pneumonia (such as influenza or COVID-19), fungal pneumonia, and other causes exist. The etiology determines the appropriate treatment approach.
Question Text: What is the first-line treatment for hypertension? | Type: multiple_choice | Options: A) Lifestyle modifications B) Beta-blockers C) Diuretics D) ACE inhibitors | Correct Option: A | Difficulty: medium | Tags: cardiology, treatment | Keywords: hypertension, lifestyle, diet, exercise, first-line | Hint: Consider non-pharmacological approaches to hypertension management | Help: This question tests knowledge of hypertension treatment guidelines | Explanation: Lifestyle modifications are the first-line treatment for hypertension. These include weight reduction, DASH diet, reduced sodium intake, increased physical activity, moderation of alcohol consumption, and smoking cessation. Medications are typically added if lifestyle changes alone are insufficient to control blood pressure. | Explanation: Lifestyle modifications are the first-line treatment for hypertension. These include weight reduction, DASH diet, reduced sodium intake, increased physical activity, moderation of alcohol consumption, and smoking cessation. Medications are typically added if lifestyle changes alone are insufficient to control blood pressure.
Question Text: Is asthma a reversible airway disease? | Type: true_false | Options: True False | Correct Option: True | Difficulty: easy | Tags: pulmonology, chronic disease | Keywords: asthma, reversible, airway obstruction, bronchodilator | Hint: Think about the characteristic features of asthma | Help: This question tests understanding of asthma pathophysiology | Explanation: Asthma is characterized by reversible airway obstruction. The bronchospasm and inflammation that cause airflow limitation can be reversed with bronchodilators like beta-agonists. This reversibility distinguishes asthma from chronic obstructive pulmonary disease (COPD), which typically has irreversible airflow limitation. | Explanation: Asthma is characterized by reversible airway obstruction. The bronchospasm and inflammation that cause airflow limitation can be reversed with bronchodilators like beta-agonists. This reversibility distinguishes asthma from chronic obstructive pulmonary disease (COPD), which typically has irreversible airflow limitation.
Question Text: Explain the difference between Type 1 and Type 2 diabetes | Type: essay | Options: N/A | Correct Option: N/A | Difficulty: hard | Tags: endocrinology, diabetes | Keywords: Type 1 diabetes, Type 2 diabetes, insulin, pathophysiology | Hint: Consider the underlying mechanisms and age of onset | Help: Provide a comprehensive comparison of both diabetes types | Explanation: Type 1 diabetes is an autoimmune condition where the body destroys insulin-producing beta cells, resulting in absolute insulin deficiency. It typically presents in childhood/young adulthood and requires insulin therapy. Type 2 diabetes involves insulin resistance and relative insulin deficiency, usually develops in adulthood, is associated with obesity, and can often be managed with oral medications, lifestyle changes, and sometimes insulin. | Explanation: Type 1 diabetes is an autoimmune condition where the body destroys insulin-producing beta cells, resulting in absolute insulin deficiency. It typically presents in childhood/young adulthood and requires insulin therapy. Type 2 diabetes involves insulin resistance and relative insulin deficiency, usually develops in adulthood, is associated with obesity, and can often be managed with oral medications, lifestyle changes, and sometimes insulin.
Question Text: What is the most common cause of stroke? | Type: multiple_choice | Options: A) Hemorrhage B) Ischemia C) Trauma D) Infection | Correct Option: B | Difficulty: medium | Tags: neurology, emergency medicine | Keywords: stroke, ischemia, hemorrhage, cerebrovascular | Hint: Think about the most frequent type of stroke | Help: This question tests knowledge of stroke etiology | Explanation: Ischemic stroke accounts for approximately 87% of all strokes. It occurs when a blood vessel supplying the brain becomes blocked, usually by a thrombus or embolus, leading to brain tissue damage due to lack of oxygen and nutrients. Hemorrhagic strokes, while less common, are often more severe. | Explanation: Ischemic stroke accounts for approximately 87% of all strokes. It occurs when a blood vessel supplying the brain becomes blocked, usually by a thrombus or embolus, leading to brain tissue damage due to lack of oxygen and nutrients. Hemorrhagic strokes, while less common, are often more severe.
